ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32980683,1.224267193,Greek Super League 2,2024-02-04,10:00:00,PAE Chania,Kallithea,1.04,1.05,1.04,1.02,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32976858,1.224142517,Italian Serie C,2024-02-04,10:00:00,Triestina,Aurora Pro Patria 1919,1.58,3.35,6.2,2.1,1.59,2.1,1.59,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,1.01
32977619,1.224159410,Italian Serie C,2024-02-04,10:00:00,Sassari Torres,USD Sestri Levante 1919,1.33,4.5,9.6,1.95,1.77,2.3,1.56,16.0,30.0,1.01,1.01,6.2,13.0,48.0,1.01,8.0,11.5,1.01,1.01,12.5,20.0,1.01,1.01,9.0,1.01
32976423,1.224137721,Spanish Women's Matches,2024-02-04,10:00:00,UDG Tenerife Sur (W),Levante Las Planas (W),1.47,4.1,6.6,1.69,2.18,1.85,1.96,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,980.0,980.0,1.01,1.01,980.0,1.01
32977969,1.224164691,English FA Women's Super League 1,2024-02-04,10:00:00,Man City (W),Leicester City (W),1.09,10.0,26.0,1.28,3.3,2.14,1.56,980.0,1.01,1.01,1.01,980.0,980.0,1.01,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,2.74,1.01
32983289,1.224254566,Hungarian NB II,2024-02-04,10:00:00,Kazincbarcika,MTE 1904,1.01,1.01,1.01,1.03,1.27,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32976516,1.224138783,Swiss Challenge League,2024-02-04,10:15:00,FC Vaduz,Neuchatel Xamax,2.58,3.5,2.4,1.68,2.22,1.56,2.32,21.0,15.5,22.0,980.0,16.0,10.0,13.5,980.0,980.0,14.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
32976987,1.224146967,Swiss Challenge League,2024-02-04,10:15:00,Fc Baden,Bellinzona,3.2,3.15,2.08,1.79,1.82,1.68,1.96,17.0,12.0,16.0,30.0,17.0,8.6,13.0,27.0,29.0,18.5,21.0,44.0,1.01,50.0,65.0,1.01,48.0,18.0
32978576,1.224174174,Swiss Super League,2024-02-04,10:15:00,Yverdon Sport,FC Zurich,3.95,3.75,1.87,1.79,2.1,1.73,2.14,17.5,11.0,13.0,22.0,18.0,9.6,11.0,21.0,32.0,18.0,19.0,34.0,80.0,50.0,55.0,980.0,46.0,11.5
32965160,1.223965320,Romanian Liga I,2024-02-04,10:30:00,ACS Sepsi OSK,Universitatea Craiova,2.38,2.88,2.64,1.99,1.73,1.75,1.87,13.5,13.0,980.0,980.0,12.0,8.2,16.0,980.0,980.0,14.5,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
32959643,1.223881035,Dutch Eredivisie,2024-02-04,10:30:00,FC Utrecht,FC Volendam,1.33,5.8,10.5,1.59,2.24,2.02,1.81,24.0,42.0,980.0,980.0,11.0,13.5,44.0,210.0,8.8,11.0,32.0,980.0,11.0,15.0,40.0,980.0,5.6,980.0
